#hg18.kgXref.kgID	hg18.kgXref.geneSymbol	hg18.knownToLocusLink.value
uc001bfr.1	CDC42	998
uc009vqg.1	CDC42	998
uc009vqh.1	CDC42	998
uc001bft.2	ZBTB40	9923
uc001bfu.2	ZBTB40	9923
uc009vqi.1	ZBTB40	9923
uc001bfv.1	KIAA0478	9923
uc001bfx.1	EPHA8	2046
uc001bfw.1	EPHA8	2046
uc001bfy.1	C1QA	712
uc001bfz.1	C1QA	712
uc001bgc.2	C1QC	714
uc001bga.2	C1QC	714
uc001bgb.1	C1QC	714
uc001bgd.1	C1QB	713
uc001bge.1	EPHB2	2048
uc001bgf.1	EPHB2	2048
uc009vqj.1	EPHB2	2048
uc001bgg.1	AK025975	n/a
uc001bgi.1	AOF2	23028
uc001bgj.1	AOF2	23028
uc001bgv.1	C1orf213	148898
uc001bgw.1	C1orf213	148898
uc001bhf.1	AX748204	n/a
uc001bhj.2	MDS2	259283
uc001bhi.2	MDS2	259283
uc001bhk.1	RPL11	6135
uc001bhl.1	RPL11	6135
uc001bhm.1	RPL11	6135
uc001bhn.1	RPL11	6135
uc001bho.1	TCEB3	6924
uc001bhq.1	C1orf128	57095
uc001bht.1	LYPLA2	11313
uc001bhr.1	LYPLA2	11313
uc001bhu.1	LYPLA2	11313
uc001bhs.1	LYPLA2	11313
uc001big.1	PNRC2	55629
uc009vqv.1	PNRC2	55629
uc001biy.1	GRHL3	57822
uc001bix.1	GRHL3	57822
uc001biz.1	GRHL3	57822
uc001bjh.1	NPAL3	57185
uc009vrc.1	NPAL3	57185
uc001bjg.1	NPAL3	57185
uc001bji.2	DKFZp686E22155	57185
uc001bjj.1	RCAN3	11123
uc009vrd.1	RCAN3	11123
uc009vre.1	DSCR1L2	11123
uc009vrf.1	DSCR1L2	11123
uc009vrg.1	RCAN3	11123
uc001bjk.1	C1orf130	400746
uc001bjm.1	SRRM1	10250
uc009vrh.1	SRRM1	10250
uc009vri.1	SRRM1	10250
uc001bjo.1	CLIC4	25932
uc001bjn.1	CLIC4	25932
uc001bjp.1	CLIC4	25932
uc001bjz.1	RHD	6007
uc001bkc.1	RHD	6007
uc009vrm.1	RHD	6007
uc001bka.1	RHD	6007
uc001bkb.1	RHD	6007
uc009vrn.1	RHD	6007
uc009vro.1	RHD	6007
uc009vrp.1	RHD	6007
uc001bke.1	TMEM50A	23585
uc009vrq.1	SMP1	23585
uc009vrr.1	SMP1	23585
uc009vrs.1	SMP1	23585
uc001bkk.1	TMEM57	55219
uc009vru.1	TMEM57	55219
uc009vrv.1	TMEM57	55219
uc009vrt.1	TMEM57	55219
uc001bkl.2	LDLRAP1	26119
uc009vrw.1	DKFZp586D0624	26119
uc009vrx.1	LDLRAP1	26119
uc001bkm.2	MAN1C1	57134
uc009vry.1	MAN1C1	57134
uc001bkn.2	pp6318	57134
uc001bko.1	SEPN1	57190
uc001bkp.1	SEPN1	57190
uc001bkq.2	FAM54B	56181
uc001bkr.2	FAM54B	56181
uc001bkt.2	FAM54B	56181
uc001bks.2	FAM54B	56181
uc009vrz.1	FAM54B	56181
uc001bku.2	FAM54B	56181
uc001bkv.2	HYST1888	56181
uc001blf.1	EXTL1	2134
uc001blj.2	PDIK1L	149420
uc009vsb.1	PDIK1L	149420
uc001blk.1	GRRP1	79927
uc009vsc.1	GRRP1	79927
uc001bll.2	ZNF593	51042
uc001blm.2	CNKSR1	10256
uc009vse.1	CNKSR1	10256
uc001bln.2	CNKSR1	10256
uc009vsd.1	CNKSR1	10256
uc001blo.1	CNKSR1	10256
uc001blp.1	CATSPER4	378807
uc009vsf.1	CATSPER4	378807
uc001blq.2	BC030768	n/a
uc001bls.1	CCDC21	64793
uc001blr.2	CCDC21	64793
uc001blt.1	CCDC21	64793
uc001blu.1	SH3BGRL3	83442
uc001bmc.1	CD52	1043
uc009vsg.1	CD52	1043
uc001bmj.1	LIN28	79727
uc001bmi.1	LIN28	79727
uc001bmk.1	DHDDS	79947
uc001bml.1	DHDDS	79947
uc001bmm.1	DHDDS	79947
uc001bmn.1	DHDDS	79947
uc001bmp.2	HMGN2	3151
uc009vsk.1	HMGN2	3151
uc001bmq.2	HMGN2	3151
uc001bmr.1	RPS6KA1	6195
uc001bms.1	RPS6KA1	6195
uc009vsl.1	RPS6KA1	6195
uc001bmu.1	ARID1A	8289
uc001bmv.1	ARID1A	8289
uc001bmt.1	ARID1A	8289
uc001bmw.1	ARID1A	8289
uc001bmx.1	ARID1A	8289
uc009vsm.1	ARID1A variant protein	8289
uc009vsn.1	ARID1A variant protein	8289
uc001bmz.1	PIGV	55650
uc001bmy.1	PIGV	55650
uc009vso.1	PIGV	55650
uc001bna.1	PIGV	55650
uc001bnb.1	ZDHHC18	84243
uc001bnc.1	SFN	2810
uc001bng.1	NUDC	10726
uc001bnh.1	NUDC	10726
uc009vsq.1	NUDC	10726
uc001bnj.2	TRNP1	388610
uc009vsr.1	TRNP1	388610
uc001bno.1	WDTC1	23038
uc009vst.1	WDTC1	23038
uc001bnp.1	KIAA1037	23038
uc001bnq.1	WDTC1	23038
uc001bnr.2	TMEM222	84065
uc001bns.2	DKFZp564D0478	84065
uc001bnt.2	DKFZp564D0478	84065
uc001bnu.2	DKFZp564D0478	84065
uc001bnv.1	SYTL1	84958
uc001bnw.1	SYTL1	84958
uc009vsu.1	SYTL1	84958
uc009vsv.1	SYTL1	84958
uc001bnx.2	FLJ00227	84958
uc001bod.1	GPR3	2827
uc009vsx.1	GPR3	2827
uc001boq.1	FAM76A	199870
uc001bor.1	FAM76A	199870
uc001bos.1	FAM76A	199870
uc009vtb.1	FAM76A	199870
uc001bot.1	FAM76A	199870
uc001bou.2	STX12	23673
uc001bov.1	PPP1R8	5511
uc001bow.1	PPP1R8	5511
uc001box.1	PPP1R8	5511
uc009vtc.1	PPP1R8	5511
uc009vtd.1	PPP1R8	5511
uc001boy.1	SCARNA1	677774
uc001bpc.2	C1orf38	9473
uc001boz.1	C1orf38	9473
uc001bpa.1	C1orf38	9473
uc001bpb.1	C1orf38	9473
uc001bpg.1	SMPDL3B	27293
uc001bpf.1	SMPDL3B	27293
uc001bph.1	XKR8	55113
uc001bpq.1	ATPIF1	93974
uc001bpp.1	ATPIF1	93974
uc001bpr.1	ATPIF1	93974
uc001bps.1	SESN2	83667
uc001bpt.2	MED18	54797
uc009vtg.1	MED18	54797
uc001bpw.1	PHACTR4	65979
uc001bpy.1	PHACTR4	65979
uc001bpv.1	PHACTR4	65979
uc001bpx.1	PHACTR4	65979
uc001bpu.2	PHACTR4	65979
uc001bpz.2	PHACTR4	65979
uc001bqa.1	SNHG3-RCC1	751867
uc001bqb.1	SNHG3-RCC1	751867
uc001bqc.1	SNHG3-RCC1	751867
uc001bqe.1	RCC1	1104
uc001bqf.1	RCC1	1104
uc001bqg.1	RCC1	1104
uc001bqd.2	AF075052	8420
uc001bqh.1	TRSPAP1	54952
uc001bqi.1	TRNAU1AP	54952
uc001bqu.1	RAB42	115273
uc009vth.1	RAB42	115273
uc001bqv.1	RAB42	115273
uc009vtj.1	RNU11	26824
uc001bqz.1	GMEB1	10691
uc001bra.1	GMEB1	10691
uc001brb.1	GMEB1	10691
uc001brc.1	YTHDF2	51441
uc001brd.1	YTHDF2	51441
uc001bre.1	YTHDF2	51441
uc001brf.1	OPRD1	4985
uc001brg.1	EPB41	2035
uc001brh.1	EPB41	2035
uc001bri.1	EPB41	2035
uc001brl.1	EPB41	2035
