#hg17.kgXref.kgID	hg17.kgXref.geneSymbol	hg17.knownToLocusLink.value
AB046825	AB046825	57704
AB046826	AB046826	54856
AB046826	AB046826	54856
AB046834	AB046834	n/a
AB046834	AB046834	n/a
AB046837	AB046837	n/a
AB046844	AB046844	57720
AB046859	AB046859	n/a
AB047005	AB047005	23139
AB047077	AB047077	57410
AB047646	REV1L	51455
AB047686	PER3	8863
AB047784	C21orf25	25966
AB048796	AB048796	84000
AB050477	C1orf24	116496
AB050854	C1orf38	9473
AB050854	AB050854	9473
AB051077	AB051077	5190
AB051078	AB051078	5190
AB051233	AB051233	58155
AB051428	AB051428	57410
AB051435	AB051435	n/a
AB051436	AB051436	n/a
AB051436	AB051436	n/a
AB051443	AB051443	n/a
AB051446	AB051446	n/a
AB051453	AB051453	n/a
AB051460	AB051460	80315
AB051462	PRDM16	63976
AB051473	AB051473	54477
AB051474	AB051474	56062
AB051475	AB051475	80728
AB051479	AB051479	79674
AB051483	AB051483	51317
AB051490	AB051490	55628
AB051500	AB051500	n/a
AB051501	AB051501	79937
AB051501	CNTNAP3	79937
AB051508	XPO4	64328
AB051518	AB051518	n/a
AB051520	PHACTR1	221692
AB051521	AB051521	63893
AB051526	AB051526	54910
AB051526	AB051526	54910
AB051530	AB051530	153090
AB051533	AB051533	n/a
AB051543	AB051543	23345
AB051548	AB051548	85369
AB051549	ZFHX2	85446
AB051555	AB051555	85442
AB051853	ARHGAP9	64333
AB051866	AB051866	22999
AB052090	AB052090	5189
AB052765	AB052765	81858
AB052917	AB052917	23155
AB052918	AB052918	23155
AB052957	AB052957	23166
AB053302	MPP4	58538
AB053303	MPP4	58538
AB053306	ALS2	57679
AB053321	ALS2CR19	117583
AB053445	AB053445	64072
AB053446	AB053446	8642
AB053446	AB053446	8642
AB054575	NPAS3	64067
AB054881	FZD4	8322
AB055056	AB055056	137970
AB055660	AB055660	57619
AB055798	AB055798	85413
AB055890	AB055890	11214
AB055962	NPAS3	64067
AB056106	ABI3BP	25890
AB056509	AB056509	94274
AB056866	SPOCK3	50859
AB058693	AB058693	79705
AB058693	AB058693	79705
AB058703	AB058703	79675
AB058706	ZNF462	58499
AB058707	AB058707	84451
AB058727	WDR22	8816
AB058751	SH3GLB2	56904
AB058752	AB058752	55698
AB058752	AB058752	55698
AB058757	AB058757	84631
AB058758	AB058758	84630
AB058763	AB058763	57787
AB058770	AB058770	84623
AB058774	AB058774	n/a
AB058779	AB058779	79813
AB058780	AB058780	84620
AB058893	AB058893	284424
AB058895	AB058895	2692
AB059277	AB059277	25909
AB060695	TLR5	7100
AB061371	AB061371	23049
AB061668	AB061668	177
AB061669	AGER	177
AB061798	AB061798	54932
AB061814	AB061814	121256
AB062286	PEX19	5824
AB062436	AB062436	79587
AB062477	AB062477	n/a
AB062480	AB062480	n/a
AB062482	AB062482	n/a
AB062485	AB062485	4507
AB062787	AB062787	54209
AB063115	AB063115	89797
AB063187	DUSP19	142679
AB063300	AB063300	80034
AB063318	AB063318	908
AB064667	AB064667	n/a
AB064670	AB064670	n/a
AB065003	AB065003	23063
AB065089	RPS2	6187
AB065281	AB065281	146845
AB066484	AB066484	9987
AB067467	BTBD9	114781
AB067483	AB067483	114789
AB067483	AB067483	114789
AB067492	SCIN	85477
AB067495	AB067495	n/a
AB067495	AB067495	n/a
AB067502	AB067502	n/a
AB067504	AB067504	114804
AB067504	AB067504	114804
AB067517	AB067517	79567
AB067525	AB067525	8831
AB067776	AB067776	90161
AB067799	AB067799	9444
AB067800	AB067800	9444
AB069681	AB069681	2067
AB069698	AB069698	11093
AB069698	AB069698	11093
AB070452	AB070452	154215
AB071195	AB071195	10018
AB071418	ACMSD	130013
AB071605	AB071605	10075
AB071996	AB071996	79858
AB072357	AB072357	54434
AB072358	AB072358	85464
AB072596	TRIP10	9322
AB073382	C18orf10	25941
AB073385	AB073385	283600
AB073386	AB073386	26084
AB073387	ACBD4	79777
AB073472	ALS2CR19	117583
AB073612	AB073612	84699
AB073671	PARD3	56288
AB075838	AB075838	158405
AB075840	AB075840	134549
AB075841	AB075841	96459
AB075848	AB075848	80709
AB075854	NPEPL1	79716
AB075864	AB075864	84960
AB075868	AB075868	84916
AB075869	AB075869	131669
AB075876	AB075876	n/a
AB076384	XBP1	7494
AB076840	TCEB3C	n/a
AB077043	AB077043	166979
AB077207	AB077207	7298
AB077208	AB077208	7298
AB078026	ATF3	467
AB078432	AB078432	2651
AB078780	KLK11	11012
AB078876	PRDM16	63976
AB079066	AB079066	64781
AB079687	AB079687	10307
AB079778	AB079778	55892
AB080587	AB080587	54014
AB082524	AB082524	n/a
AB082524	ZBTB34	n/a
AB082525	AB082525	8848
AB082528	AB082528	n/a
AB082531	AB082531	27031
AB082532	AB082532	340526
AB082533	AB082533	n/a
AB083483	AB083483	135927
AB084153	AB084153	2263
AB084248	AB084248	5241
AB084280	AB084280	171023
AB084281	AB084281	55252
AB084764	AB084764	93273
AB085628	AB085628	7015
AB085674	C1orf16	9887
AB085683	AB085683	5241
AB085789	AB085789	6567
AB085826	PDE8B	8622
AB085827	PDE8B	8622
AB085843	AB085843	5241
AB085845	AB085845	5241
AB085901	MCF2	4168
AB085902	MCF2	4168
AB086378	AB086378	166979
AB086954	STX1A	6804
AB087802	NUDT14	256281
AB088047	MARK4	57787
AB088047	AB088047	57787
AB088847	AB088847	n/a
AB089939	AB089939	338707
AB089958	AB089958	23621
AB090876	PLA2G4D	283748
AB091676	AB091676	9231
AB093548	SCN1A	6323
AB094090	AB094090	23187
AB094090	AB094090	23187
AB094091	AB094091	283149
AB094096	PDZK2	79849
AB094146	AB094146	23705
AB095007	PAM	5066
AB095031	AB095031	10811
AB095926	AB095926	219285
AB095930	AB095930	55671
AB095931	AB095931	5662
AB095933	AB095933	90231
AB095935	ANKRD18A	253650
AB095945	AB095945	n/a
AB095945	AB095945	n/a
AB095948	AB095948	130271
AB096679	AB096679	93273
AB096680	AB096680	93273
AB096683	AB096683	n/a
AB097006	CANT1	124583
AB097013	AB097013	23390
AB097018	AB097018	79971
AB097021	AB097021	347734
AB097046	AB097046	26099
AB098335	SCN1A	6323
AB100373	AB100373	56848
AB102641	ATRX	n/a
AB102644	FMR2	2334
AB102659	PAK3	5063
AB102668	AB102668	9968
AB102716	AB102716	3070
AB102717	AB102717	3070
AB102718	AB102718	3070
AB102719	AB102719	3070
AB102720	AB102720	3070
AB102721	AB102721	3070
AB102722	AB102722	3070
AB102723	AB102723	3070
AB102723	AB102723	3070
AB102793	AB102793	3561
AB102795	AB102795	3561
AB102799	AB102799	3572
AB102869	AB102869	5378
AB102884	AB102884	3661
AB102888	AB102888	55
AB102894	AB102894	7066
AB103082	AB103082	5395
AB103085	AB103085	5395
AB104887	AB104887	147495
AB105103	AB105103	128239
AB105105	C20orf42	55612
AB107015	AB107015	259173
AB107037	AB107037	1643
AB107038	AB107038	1643
AB107039	AB107039	1643
AB107353	AB107353	399664
AB108823	AB108823	26085
AB108824	AB108824	26085
AB109023	AB109023	83849
AB109185	MGAT5B	146664
AB109552	AB109552	255967
AB109552	AB109552	255967
AB110785	MICAL2	9645
AB110786	MICAL2	9645
AB110790	SNCAIP	9627
AB110791	AB110791	9627
AB110793	AB110793	9627
AB110794	AB110794	9627
AB111886	AB111886	79784
AB111910	AB111910	56729
AB112074	AB112074	5930
AB112582	AB112582	23457
AB112583	AB112583	23457
AB113248	AB113248	3070
AB113249	AB113249	3070
AB113382	AB113382	3778
AB113575	AB113575	3778
AB113648	AB113648	n/a
AB114297	AB114297	146664
AB114604	CSMD3	114788
AB115332	AB115332	7204
AB116074	AB116074	23263
AB117974	AB117974	8910
AB118749	AB118749	64344
AB119055	AB119055	169611
AB119995	CES1	1066
AB120364	AB120364	124935
AB120364	AB120364	124935
AB120364	AB120364	124935
