ucsc_gene	entrez_gene
uc001dqf.3	30836
uc001dqg.1	2730
uc001dqh.3	24
uc001dqj.4	9411
uc001dqn.4	5825
uc001dqr.3	2152
uc001dqv.4	126969
uc001dqz.4	1266
uc001dra.2	199857
uc001drb.3	148534
uc001drq.3	58155
uc001drv.3	1806
uc001dsb.3	163404
uc001dse.3	9890
uc001dsg.3	54873
uc001dsi.1	178
uc001dsp.1	23443
uc001dst.3	64645
uc001dsu.3	163786
uc001dsv.3	54482
uc001dsw.1	127495
uc001dta.3	1629
uc001dtd.3	8634
uc001dtf.2	8556
uc001dth.3	54112
uc001dti.3	7412
uc001dtk.1	2135
uc001dto.2	148867
uc001dtt.2	51611
uc001dud.2	1901
uc001dug.2	118427
uc001dum.3	1301
uc001duq.3	280
uc001dvh.4	22854
uc001dvi.3	22854
uc001dvk.1	10451
uc001dvn.4	29957
uc001dvt.4	113802
uc001dvv.4	55119
uc001dvx.3	163479
uc001dvy.3	6814
uc001dwa.3	254268
uc001dwf.1	23155
uc001dwl.3	22911
uc001dwm.1	6884
uc001dwn.3	56900
uc001dwu.2	6301
uc001dxa.4	1952
uc001dxd.3	84722
uc001dxk.1	343263
uc001dxm.2	6272
uc001dxn.3	5686
uc001dxp.3	284612
uc001dxr.3	127002
uc001dxx.4	57463
uc001dxy.2	83873
uc001dxz.2	2773
uc001dya.3	2780
uc001dyc.1	271
uc001dyf.3	2948
uc001dyk.3	2944
uc001dyn.3	2949
uc001dyo.2	2947
uc001dyq.2	79574
uc001dyw.4	1435
uc001dza.1	85369
uc001dzb.3	257
uc001dzc.3	164153
uc001dzh.3	3749
uc001dzl.1	64783
uc001dzo.2	9122
uc001dzr.3	10542
uc001dzs.3	84432
uc001dzt.1	3744
uc001dzv.1	3738
uc001dzw.3	963
uc001eaa.3	55791
uc001ead.4	128338
uc001eah.1	10390
uc001eak.1	79961
uc001eam.3	1117
uc001eas.3	27159
uc001eaw.2	128344
uc001eba.3	5016
uc001ebb.3	79084
uc001ebc.3	515
uc001ebe.3	128346
uc001ebh.4	140
uc001ebl.3	5906
uc001ebo.2	55924
uc001ebs.3	11218
uc001ebu.1	3752
uc001ebw.3	643355
uc001ebx.3	55917
uc001ecb.3	7482
uc001ecd.3	54879
uc001ecj.1	829
uc001eck.3	4343
uc001ecp.1	389
uc001ect.1	333926
uc001ecu.3	284467
uc001ecy.3	6566
uc001edf.1	9860
uc001edk.3	260425
uc001edq.3	54665
uc001eds.3	26191
uc001edw.3	440603
uc001eeb.3	10717
uc001eeg.3	64858
uc001eem.3	204851
uc001eer.1	56944
uc001eew.3	51592
uc001efa.3	10286
uc001efc.1	163259
uc001efe.2	270
uc001efi.3	7812
uc001efp.4	80143
uc001efr.3	6847
uc001efs.1	7252
uc001eft.3	10100
uc001efu.1	4803
